idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
5623,79,1708215,Dustlik,Дустликский,1708,Djizakh,Джизакская,UZB
5735,191,3907221,Niyazov,Ниязовский,3907,Mary,Марыйская,TKM
5501,265,1735233,Turtkul,Турткульский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
3818,122,1710220,Kamashi,Камашинский,1710,Qashkadarya,Кашкадарьинская,UZB
3646,258,3909208,Tedjen,Тедженский,3909,Ahal,Ахалская,TKM
5615,71,5003024,Dashti Archi,Dashti Archi,5003,Kunduz,Kunduz,AFG
5758,214,5003027,Qala-I-Zal,Qala-I-Zal,5003,Kunduz,Kunduz,AFG
445,137,1958226,Kazygurt,Кызыгуртский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5724,180,1708223,Mirzachul,Мирзачульский,1708,Djizakh,Джизакская,UZB
5602,58,3908234,Chardjov,Чарджевский,3908,Lebap,Лебапская,TKM
5600,56,5001009,Char Bolak,Char Bolak,5001,Balkh,Balkh,AFG
5575,31,3909203,Bakher,Бахерденский,3909,Ahal,Ахалская,TKM
3682,294,1708225,Zafarabad,Зафарабадский,1708,Djizakh,Джизакская,UZB
4056,52,1706207,Bukhara,Бухарский,1706,Bukhara,Бухарская,UZB
5749,205,3502231,Panj,Пянжский,3502,Khatlon,Хатлонская,TJK
5637,93,3907209,Garagum,Гарагумский,3907,Mary,Марыйская,TKM
5581,37,1724212,Bayaut,Баяутский,1724,Sirdarya,Сырдарьинская,UZB
5599,55,1730212,Buvayda,Бувайдинский,1730,Fergana,Ферганская,UZB
3425,37,1724212,Bayaut,Баяутский,1724,Sirdarya,Сырдарьинская,UZB
2141,293,1708218,Zaamin,Зааминский,1708,Djizakh,Джизакская,UZB
5683,139,3906213,Keneurgench,Кенеургенчский,3906,Dashhovuz,Дашховузская,TKM
2503,39,3907202,Bayramaly,Байрамалыйский,3907,Mary,Марыйская,TKM
2961,189,1712230,Navbahor,Навбвхорский,1712,Navoi,Навоийская,UZB
5812,268,1703217,Ulugnor,Улугнорский,1703,Andijan,Андижанская,UZB
5829,285,1733236,Yangiaryk,Янгиарыкский,1733,Khorezm,Хорезмская,UZB
5645,101,3907211,Gushgy,Гушгынский,3907,Mary,Марыйская,TKM
3309,229,1958237,Saryagash,Сарыагашский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5582,38,1958203,Baydibek,район Байдибека,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5553,9,1706204,Alat,Алатский,1706,Bukhara,Бухарская,UZB
5592,48,3908206,Boynyuzyn,Бойныузынский,3908,Lebap,Лебапская,TKM
5682,138,1735212,Kegeyli,Кегейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
3670,282,1710250,Yakkabag,Яккабагский,1710,Qashkadarya,Кашкадарьинская,UZB
3701,5,1727212,Akhangaran,Ахангаранский,1727,Tashkent region,Ташкентская,UZB
5559,15,1703203,Andijan,Андижанский,1703,Andijan,Андижанская,UZB
3169,89,1730233,Fergana,Ферганский,1730,Fergana,Ферганская,UZB
5690,146,1724235,Khavast,Хавастский,1724,Sirdarya,Сырдарьинская,UZB
5748,204,1708228,Pakhtakor,Пахтакорский,1708,Djizakh,Джизакская,UZB
5711,167,1712216,Kyzyltepa,Кызылтепинский,1712,Navoi,Навоийская,UZB
5643,99,1724220,Gulistan,Гулистанский,1724,Sirdarya,Сырдарьинская,UZB
5836,292,3502237,Yovon,Яванский,3502,Khatlon,Хатлонская,TJK
5655,111,1703214,Izbaskan,Избасканский,1703,Andijan,Андижанская,UZB
430,122,1710220,Kamashi,Камашинский,1710,Qashkadarya,Кашкадарьинская,UZB
1072,148,1703236,Khodjaabad,Ходжабадский,1703,Andijan,Андижанская,UZB
347,39,3907202,Bayramaly,Байрамалыйский,3907,Mary,Марыйская,TKM
5659,115,3502221,Jilikul,Джиликульский,3502,Khatlon,Хатлонская,TJK
3726,30,5004002,Baghlani Jadid,Baghlani Jadid,5004,Baghlan,Baghlan,AFG
2069,221,3908210,S.Niyazova,С.Ниязова,3908,Lebap,Лебапская,TKM
5674,130,1712234,Karmana,Карманинский,1712,Navoi,Навоийская,UZB
5691,147,1733226,Khiva,Хивинский,1733,Khorezm,Хорезмская,UZB
5503,267,1714234,Uchkurgan,Учкурганский,1714,Namangan,Наманганская,UZB
5773,229,1958237,Saryagash,Сарыагашский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
1188,264,3509248,Tursunzoda,Турсунзадинский,3509,RPP,Районы Республиканского по,TJK
5727,183,3907218,Murgap,Мургапский,3907,Mary,Марыйская,TKM
1858,10,5003022,Ali abad,Ali abad,5003,Kunduz,Kunduz,AFG
4038,34,5001008,Balkh,Balkh,5001,Balkh,Balkh,AFG
5556,12,1703202,Altynkul,Алтынкульский,1703,Andijan,Андижанская,UZB
5721,177,1714204,Mingbulak,Мингбулакский,1714,Namangan,Наманганская,UZB
378,70,3906226,Dashhovuz,Дашховузский,3906,Dashhovuz,Дашховузская,TKM
5743,199,1958207,Ordabasin,Ордабасынский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
2880,108,3505205,Isfara,Исфаринский,3503,Sogd,Согдийская,TJK
5813,269,1733217,Urgench,Ургенчский,1733,Khorezm,Хорезмская,UZB
2460,304,3502235,Baljuvon,Балджуванский,3502,Khatlon,Хатлонская,TJK
2362,206,3503211,Panjakent,Пенджикентский,3503,Sogd,Согдийская,TJK
5835,291,1727239,Ykarichirchik,Юкаричирчикский,1727,Tashkent region,Ташкентская,UZB
5840,296,1708220,Zarbdar,Зарбдарский,1708,Djizakh,Джизакская,UZB
5566,22,1703224,Asaka,Асакинский,1703,Andijan,Андижанская,UZB
5796,252,3906222,Tagtynskiy,Тагтынский,3906,Dashhovuz,Дашховузская,TKM
5341,105,1733220,Hazarasp,Хазараспский,1733,Khorezm,Хорезмская,UZB
5707,163,1730206,Kushtepa,Куштепинский,1730,Fergana,Ферганская,UZB
439,131,1710224,Karshi,Каршинский,1710,Qashkadarya,Кашкадарьинская,UZB
389,81,1735250,Ellikkala,Элликалинский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
518,210,1706240,Peshku,Пешкунский,1706,Bukhara,Бухарская,UZB
5730,186,1714212,Namangan,Наманганский,1714,Namangan,Наманганская,UZB
200,200,1958217,Otyrar,Отырарский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5695,151,3502219,Khuroson,Хуросонский,3502,Khatlon,Хатлонская,TJK
5656,112,3503203,Jabbor Rasulov,Жаббор Расуловский,3503,Sogd,Согдийская,TJK
2057,209,1718205,Pastdargom,Пастдаргомский,1718,Samarkand,Самаркандская,UZB
5800,256,1730227,Tashlak,Ташлакский,1730,Fergana,Ферганская,UZB
5759,215,5006021,Qarqin,Qarqin,5006,Jawzjan,Jawzjan,AFG
5815,271,1727253,Urtachirchik,Уртачирчикский,1727,Tashkent region,Ташкентская,UZB
370,62,5001010,Chimtal,Chimtal,5001,Balkh,Balkh,AFG
5597,53,1703237,Bulakbashi,Булакбашинский,1703,Andijan,Андижанская,UZB
371,63,1727256,Chinaz,Чиназский,1727,Tashkent region,Ташкентская,UZB
5126,198,1712209,Nurata,Нуратинский,1712,Navoi,Навоийская,UZB
5807,263,3907232,Turkmengaly,Туркменгалынский,3907,Mary,Марыйская,TKM
5548,4,3906217,Akdeli,Акдепинский,3906,Dashhovuz,Дашховузская,TKM
5644,100,1733208,Gurlen,Гурленский,1733,Khorezm,Хорезмская,UZB
5702,158,3502225,Kulob,Кулабский,3502,Khatlon,Хатлонская,TJK
5620,76,1703211,Djalalkuduk,Джалалкудукский,1703,Andijan,Андижанская,UZB
2607,143,5003025,Khan Abad,Khan Abad,5003,Kunduz,Kunduz,AFG
5804,260,1722220,Termez,Термезский,1722,Surkhandarya,Сурхандарьинская,UZB
5622,78,1722212,Djarkurgan,Джаркурганский,1722,Surkhandarya,Сурхандарьинская,UZB
5788,244,5001039,Shortepa,Shortepa,5001,Balkh,Balkh,AFG
5723,179,1724228,Mirzaabad,Мирзаабдский,1724,Sirdarya,Сырдарьинская,UZB
5700,156,1733212,Koshkupyr,Кошкупырский,1733,Khorezm,Хорезмская,UZB
5130,202,1718224,Paiaryk,Пайарыкский,1718,Samarkand,Самаркандская,UZB
5634,90,1730231,Furkat,Фуркатский,1730,Fergana,Ферганская,UZB
828,212,5004007,Puli Khumri,Puli Khumri,5004,Baghlan,Baghlan,AFG
5734,190,1710235,Nishan,Нишанский,1710,Qashkadarya,Кашкадарьинская,UZB
3161,81,1735250,Ellikkala,Элликалинский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
5646,102,1710207,Guzar,Гузарский,1710,Qashkadarya,Кашкадарьинская,UZB
5740,196,1735225,Nukus,Нукусский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
5353,117,3305258,Kadamjay,Кадамжайский,3305,Batken,Баткенский,KGZ
